iter	RMSE
586	88317.40174
587	88276.77521
588	88200.45624
589	88124.68579
590	88065.10626
591	87984.06167
592	87923.4155
593	87845.79764
594	87791.97468
595	87755.25037
596	87720.96694
597	87677.21056
598	87641.63937
599	87594.4745
600	87553.96699
601	87450.90384
602	87404.88707
603	87349.94012
604	87273.55046
605	87209.40613
606	87172.27449
607	87135.28513
608	87090.67967
609	87020.31585
610	86946.55411
611	86892.48244
612	86850.70331
613	86775.63618
614	86713.91338
615	86665.20693
616	86630.94647
617	86605.01853
618	86483.01044
619	86433.35276
620	86393.29027
621	86364.57739
622	86319.46252
623	86273.59178
624	86247.72289
625	86222.54409
626	86185.05357
627	86148.57692
628	86098.6674
629	86048.70377
630	85998.8272
631	85936.13888
632	85904.98885
633	85871.24776
634	85853.03372
635	85810.01353
636	85771.59522
637	85740.19353
638	85702.83976
639	85630.83376
640	85576.38189
641	85533.44569
642	85488.57193
643	85473.39118
644	85415.7807
645	85369.30806
646	85333.16261
647	85288.62119
648	85261.33137
649	85224.43652
650	85138.52426
651	85114.1958
652	85040.11497
653	84999.1114
654	84962.78975
655	84925.11081
656	84874.46751
657	84843.49538
658	84753.92849
659	84726.29352
660	84703.81914
661	84650.42235
662	84618.51559
663	84590.22093
664	84540.62443
665	84489.88086
666	84441.68499
667	84420.95233
668	84365.85666
669	84332.1573
670	84308.57263
671	84289.55684
672	84242.2136
673	84201.34974
674	84165.65749
675	84150.24628
676	84105.78318
677	84079.41018
678	84031.33816
679	83978.81504
680	83908.97198
681	83891.17344
682	83802.77857
683	83764.61885
684	83733.67385
685	83707.38377
686	83646.8529
687	83622.98032
688	83541.65281
689	83527.61965
690	83485.64246
691	83422.44609
692	83384.70025
693	83348.16993
694	83312.31584
695	83293.59768
696	83242.92486
697	83203.00592
698	83168.5648
699	83151.83162
700	83092.80215
701	83076.36072
702	83047.04954
703	83008.21196
704	82975.73315
705	82925.75371
706	82910.05194
707	82877.22119
708	82838.64687
709	82797.49614
710	82754.09161
711	82739.3794
712	82689.57284
713	82667.07027
714	82631.3049
715	82594.96834
716	82526.60739
717	82468.48868
718	82420.00383
719	82356.63164
720	82323.04493
721	82292.31115
722	82261.75518
723	82249.81217
724	82207.81856
725	82155.32888
726	82144.0233
727	82098.88623
728	82059.18716
729	82010.48345
730	81993.22004
731	81965.91922
732	81885.33939
733	81838.45639
734	81797.91443
735	81762.21255
736	81735.71204
737	81703.59841
738	81673.57264
739	81634.32035
740	81606.59026
741	81584.9853
742	81550.64201
743	81527.91599
744	81478.11337
745	81440.56562
746	81392.82604
747	81367.53146
748	81322.22695
749	81295.61127
750	81250.21993
751	81215.40813
752	81200.63016
753	81168.64317
754	81137.38059
755	81097.24402
756	81032.24935
757	81007.41137
758	80954.91075
759	80914.86644
760	80904.44701
761	80878.17736
762	80855.08428
763	80824.98718
764	80795.51637
765	80765.81591
766	80719.68764
767	80694.41032
768	80658.54149
769	80547.41169
770	80514.7495
771	80468.76306
772	80420.27089
773	80368.85149
774	80333.34816
775	80313.81951
776	80293.9334
777	80269.0372
778	80226.56347
779	80167.03029
780	80085.75797
781	80062.39173
782	80013.70022
783	79985.49918
784	79929.01642
785	79919.4145
786	79859.83493
787	79804.91829
788	79782.93526
789	79758.76988
790	79725.16241
791	79685.7573
792	79653.36462
793	79626.3914
794	79580.11745
795	79539.84119
796	79463.14134
797	79407.87212
798	79332.69178
799	79300.76067
800	79277.36973
801	79226.00809
802	79206.22516
803	79146.06018
804	79095.44309
805	79063.61596
806	78996.83867
807	78980.27347
808	78942.81223
809	78918.24532
810	78897.02411
811	78797.01359
812	78767.43968
813	78740.64303
814	78705.71054
815	78677.99171
816	78638.38239
817	78604.70757
818	78561.50364
819	78527.00189
820	78506.71207
821	78469.49188
822	78440.50989
823	78419.30396
824	78391.50621
825	78365.18206
826	78313.68372
827	78275.14794
828	78238.12614
829	78208.7311
830	78181.08795
831	78134.56657
832	78113.50484
833	78093.17047
834	78076.05285
835	78042.62203
836	78018.41285
837	77979.35535
838	77924.9881
839	77902.31461
840	77868.32452
841	77831.38959
842	77784.81867
843	77753.69088
844	77740.83034
845	77698.10443
846	77650.53346
847	77615.20152
848	77573.74472
849	77548.36289
850	77511.85649
851	77488.92647
852	77464.5027
853	77424.49567
854	77339.37694
855	77321.1659
856	77287.93513
857	77254.56883
858	77222.63921
859	77185.37244
860	77149.37781
861	77113.38728
862	77095.46422
863	77065.20822
864	77040.50587
865	77032.77683
866	76992.63586
867	76965.76832
868	76943.86247
869	76897.97739
870	76854.08359
871	76838.83674
872	76803.58338
873	76782.73601
874	76750.22557
875	76718.92957
876	76688.96073
877	76656.25504
878	76628.45853
879	76588.86972
880	76566.93757
881	76526.95942
882	76480.19149
883	76419.87748
884	76370.40354
885	76355.35581
886	76316.54309
887	76291.89654
888	76263.69244
889	76246.93306
890	76229.14563
891	76209.03601
892	76177.14272
893	76135.9046
894	76100.69413
895	76079.82197
896	76047.89382
897	76028.99675
898	76005.92338
899	75975.31226
900	75937.41484
901	75912.52144
902	75881.27973
903	75852.13471
904	75827.32527
905	75809.7831
906	75786.75408
907	75765.36124
908	75743.39571
909	75720.61986
910	75697.75018
911	75668.7269
912	75626.39922
913	75603.29887
914	75589.18087
915	75564.58323
916	75530.77402
917	75475.73791
918	75446.81765
919	75401.73789
920	75349.60962
921	75316.67089
922	75300.43061
923	75257.8263
924	75227.95212
925	75207.10473
926	75160.60149
927	75119.72841
928	75102.65392
929	75086.93261
930	75057.03678
931	75015.2734
932	74979.05097
933	74958.46718
934	74941.68555
935	74914.94772
936	74887.74008
937	74847.97431
938	74831.44178
939	74786.68216
940	74753.92541
941	74701.30428
942	74682.4631
943	74650.53079
944	74631.03824
945	74597.9656
946	74573.45052
947	74562.73386
948	74549.33379
949	74505.20961
950	74455.59668
951	74415.24404
952	74398.177
953	74364.10724
954	74340.04548
955	74302.64048
956	74282.38855
957	74261.32492
958	74211.78245
959	74178.10241
960	74134.64356
961	74114.02222
962	74074.50866
963	74001.37967
964	73966.98071
965	73949.35943
966	73914.06102
967	73881.2449
968	73849.3381
969	73832.74292
970	73795.29997
971	73775.76208
972	73739.7612
973	73695.76964
974	73676.91944
975	73641.50171
976	73633.73538
977	73608.58739
978	73582.98391
979	73560.4373
980	73525.13215
981	73479.18592
982	73461.00475
983	73419.0916
984	73394.52389
985	73380.80696
986	73361.48109
987	73319.83122
988	73296.49639
989	73281.91113
990	73258.44352
991	73231.47451
992	73197.25697
993	73175.87054
994	73146.92989
995	73127.4541
996	73104.93275
997	73082.98714
998	73058.82702
999	73047.17529
